f1_wt_fetal_rpf,f1_wt_fetal_rna,m1_wt_fetal_rpf,m1_wt_fetal_rna,m1_ko_fetal_rpf,m1_ko_fetal_rna,m2_ko_fetal_rpf,m2_ko_fetal_rna,gene_id
710.2332247824096,290.1539670567002,725.2331034771697,304.7267671445069,798.1129443663514,170.18302070484162,664.1961165543521,250.63864232896867,ENSGALG00010000039
0,0,0,0,0,0.24913260860165556,0,0.10224376840852553,ENSGALG00010000040
0,0.5642068065375858,0,0.3120481550401808,0,0.15650638232668104,0.7574616345945965,0,ENSGALG00010000041
9.219304738192754,1.240337564941164,5.3529906594544,1.1345360563737306,5.401292767020635,0.5160893387943238,7.493327780282154,1.295253983204589,ENSGALG00010000042
1.202385949063913,2.961662155638739,0.70977515327485,2.144042578774576,3.255362406045743,6.982158606141662,2.0744895217725885,4.492632279771982,ENSGALG00010000043
21.61199830649992,31.87069617996205,22.70842379303976,33.2419912690344,12.294052711074633,14.63380658309593,16.691909481048985,25.844595225272347,ENSGALG00010000044
31.523023475450064,39.113172403485684,29.25528633517982,35.82460079775963,18.079532529478858,23.10374829816501,29.546205545940307,36.98837108114109,ENSGALG00010000045
30.476652677069747,28.07635657543572,26.776615586290415,26.46086773523729,32.785921980048506,34.468229143005516,35.39771691079323,28.6516442517355,ENSGALG00010000046
42.66136628524937,65.14296455474629,40.84121827156855,66.30806852165745,63.516229144411575,49.042884628827835,46.787891788252196,64.86120971601576,ENSGALG00010000047
6.334993495809032,5.721561120592493,6.096461584378622,5.1393223060340425,3.1708620195854245,5.761155902004836,3.722234149382381,5.29401367867855,ENSGALG00010000048
1.424501580048626,0.46087697760081725,1.3454260048283855,0.3481548764279719,4.859470295093801,1.4218694780575711,2.173131310285187,0.552821478843338,ENSGALG00010000049
36.18441969758554,10.350655282952303,26.699831756402723,8.093511758463084,67.59680264499615,19.484473408495415,52.61317456059986,11.775198379195006,ENSGALG00010000050
5.043729431683798,2.994523980951424,4.67867982056964,2.5576660149546604,7.152874788367121,5.520186353382935,9.312667848581627,3.7089125137030634,ENSGALG00010000051
4.6839094704572855,2.7993606609374146,3.263533338849523,3.0160788219497032,4.906209756833359,5.526401326866299,6.052184163402675,2.520492600643379,ENSGALG00010000052
12.880535354428448,1.8680105504839917,4.520971512011113,1.701655856698514,24.128349030749312,4.29777076861133,25.668587527385426,3.096033211921082,ENSGALG00010000053
21.434078282748054,41.44299395343293,27.344129335835916,43.60762129910147,12.211268446453508,57.18178760969189,14.72207399959596,42.855559334801015,ENSGALG00010000054
73.4966749686739,51.477328245238326,72.44727164348964,58.25437488525731,154.8455344300424,75.11495962645988,146.58966261733613,66.88032909246996,ENSGALG00010000055
38.720189894767756,15.613208203596267,32.86903606670437,12.622580404533378,53.861210977038006,17.341658119355948,47.67795588745922,14.631005210581828,ENSGALG00010000056
0,0.12867874535067744,0.9625991975334666,0.21350663239591317,0.44149322856428636,0.21416662844703718,0.518263223669987,0,ENSGALG00010000057
3.936837276500332,9.717452596799825,5.670406454593584,10.982614778152843,4.00765898966107,25.480114046700105,3.603476950345831,14.539661480569938,ENSGALG00010000058
125.36603141636277,88.85386513450713,148.34723188654647,96.10697930601717,143.3790138765165,47.85037726321303,160.104946245606,87.04778832880842,ENSGALG00010000059
396.6788238520448,38.117278740885716,408.99096613311696,57.836200830229416,470.8055978812475,14.354223160166777,493.7457004588904,45.444537315940536,ENSGALG00010000060
0.38250505390194595,0.523187655993701,0,0.33387868440513174,0.5523207468458562,8.875135590377221,0.16209055555110707,0.45357523598514615,ENSGALG00010000061
