f1_wt_adult_rpf,f2_wt_adult_rpf,m1_wt_adult_rpf,m2_wt_adult_rpf,m3_wt_adult_rpf,m4_wt_adult_rpf,gene_id
427.0870357476569,324.44007290766257,355.27337673869704,448.17815144491703,472.5752028801612,463.3446344651159,ENSGALG00010000039
0.4132651495268877,1.10287883449574,2.3045412559082155,0,0.055294275709435604,0.05386803903088121,ENSGALG00010000040
0,0,0,0,0,0.20304107019332146,ENSGALG00010000041
554.3064972777383,619.3779489854195,719.3302332458434,400.85263038807113,277.0744907446722,331.91173266714503,ENSGALG00010000042
7.7744253285217555,8.771737935838452,7.473389332655921,9.46396322067688,9.628484578005063,9.087459790274064,ENSGALG00010000043
196.9561991330766,290.26964424983726,161.25515627724502,397.47558220840574,337.04691698973784,364.0713778700169,ENSGALG00010000044
25.88747038082321,30.920483715123506,27.88762748004091,38.65570770447305,28.774521830038125,30.525449769011367,ENSGALG00010000045
28.65440090690188,30.29753126456416,22.41844177622477,27.804880968543316,27.53691070379376,27.913502421217803,ENSGALG00010000046
6.537304300512426,6.468648827930226,4.900917997849992,10.408934673817683,19.426634534919067,13.702978670668895,ENSGALG00010000047
25.92138193037635,37.30669786393532,42.78250171728576,17.944644317369097,10.977338838521664,14.08658476334353,ENSGALG00010000048
0.67499974422725,1.021465811974854,1.8820420256583759,0.7905027081126037,0.5356553513553141,0.7402830743140411,ENSGALG00010000049
31.779185038436218,21.476172600359057,28.23063038487564,12.191381702800218,11.193660164419613,12.138002663381773,ENSGALG00010000050
7.377904181088545,13.312440987616966,19.531657068605817,4.150795781302226,1.9112959332432045,2.680456918908732,ENSGALG00010000051
2.258363456522398,2.2321793841508164,3.288326215834337,1.0226577785248554,1.4369659853510328,1.4260678882970832,ENSGALG00010000052
36.51824458937312,38.3212530857496,65.02560931347759,17.22103170867457,8.767559761927586,6.999213520821463,ENSGALG00010000053
35.6200684699593,45.47717860713035,44.521092508607154,31.471634513753255,20.627121644813652,23.712534164872494,ENSGALG00010000054
0.3932037345013106,1.088205509477278,1.00497389719622,0.2861597875414557,0.4910274839698747,0.5808683043718322,ENSGALG00010000055
16.628401550810878,17.470199417338797,18.440728026761732,10.735516914941286,9.183070704843367,10.132125814663459,ENSGALG00010000056
0,0.15801480377278146,0.5571834944383349,0,0,0.06946141875034681,ENSGALG00010000057
8.233796117638626,10.071184952023783,11.299426392929892,6.691363638538197,4.695868121112881,5.4333480791249675,ENSGALG00010000058
65.71872509768085,46.31296850577429,41.30036667416991,56.31077029098948,40.96742647631397,42.281422857849996,ENSGALG00010000059
164.87001626715977,113.09380790339168,105.1424265515447,104.28233475434612,85.76272778932776,95.18949070323117,ENSGALG00010000060
0.45833315966047833,0.6424634820062061,0.6389648852543869,0.5256076207380099,0.3567959848246709,0.5213894148174181,ENSGALG00010000061
0.9719996316872398,2.305752016652427,2.032605387711046,0,0.17340284862479005,0,ENSGALG00010000062
1597.412856242411,872.509126493677,1160.7132262089253,1823.6376265580986,1291.3510217298067,1152.4611144172927,ENSGALG00010000063
7.700701307381301,10.825126838743788,17.296231292142117,1.1070219010993403,2.1370069372773424,2.676710446492238,ENSGALG00010000069
0.4879516223329517,0.2893765081140094,0.3401280769262125,0.4734852709521275,0.1305744342054142,0.25441290723018595,ENSGALG00010000071
61.21872680283252,106.24739833677633,106.77974548353423,70.82057297501665,23.707420710420514,26.004297064018726,ENSGALG00010000075
8.606246738897436,17.052957623158576,13.550702584740305,6.975621754302218,6.2316648724533925,6.757206816033738,ENSGALG00010000076
0,0,0,0,0,0,ENSGALG00010000078
0,0,0,0,0,0,ENSGALG00010000079
0,0,0,0,0,0,ENSGALG00010000080
207.86343474933201,189.93891893933,397.9755894257063,146.36325508075302,33.39176476896294,48.2820689726735,ENSGALG00010000081
62.01560150087858,65.29961765910193,119.98017913572146,25.176099641407653,8.466935968007327,11.547960867245157,ENSGALG00010000082
0,0,0,0,0,0,ENSGALG00010000083
49.67305810082583,84.88501236518684,104.23617372877159,36.864065849749295,19.961706131753342,23.552764142425293,ENSGALG00010000085
31.153834348949996,61.55284356195117,97.60711882058217,23.38863882950165,12.241749687833105,22.313144977034487,ENSGALG00010000084
0,0,0,0,0,0,ENSGALG00010000088
15.621422652116355,13.724714384835876,73.197991640784693,8.07038734149653,4.373777208616357,5.995512744137078,ENSGALG00010000089
0,0,0,0,0,0,ENSGALG00010000091
0,0,0,0,0,0,ENSGALG00010000093
4.3776848140149065,4.767212739865558,5.210710538801318,3.6517027755290186,2.1784965969770553,2.9765666876886923,ENSGALG00010000092
4.728108807490414,9.112915196382959,11.144811073599138,4.104993654767753,2.746876922339704,2.9517368484018345,ENSGALG00010000098
